Churn,gender,SeniorCitizen,Partner,Dependents,FamilySize,PhoneService,MultipleLines,InternetService,Is_Internet,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,tenure,MonthlyCharges,MonthlyChargesPerHead,Contract,Is_Contract_Locked
False,Female,0,Yes,No,2,No,No,DSL,1,No,Yes,No,No,No,No,Yes,Electronic check,1,29.85,14.925,Month-to-month,0
True,Female,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,Yes,Yes,Yes,Yes,Yes,Electronic check,28,104.8,52.4,Month-to-month,0
False,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,Yes,No,Yes,Yes,No,Credit card (automatic),58,100.35,50.175,One year,1
False,Male,0,Yes,No,2,Yes,No,No,0,No,No,No,No,No,No,No,Bank transfer (automatic),12,19.8,9.9,One year,1
False,Female,0,Yes,No,2,Yes,Yes,DSL,1,No,Yes,No,Yes,No,No,Yes,Credit card (automatic),58,59.9,29.95,Two year,1
False,Male,0,Yes,No,2,Yes,Yes,DSL,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),72,90.25,45.125,Two year,1
False,Female,1,Yes,No,2,Yes,Yes,Fiber optic,1,Yes,Yes,Yes,Yes,No,No,Yes,Credit card (automatic),71,96.35,48.175,Two year,1
False,Male,1,Yes,No,2,Yes,No,Fiber optic,1,No,No,Yes,No,Yes,Yes,Yes,Credit card (automatic),2,95.5,47.75,Month-to-month,0
False,Female,0,Yes,No,2,Yes,Yes,DSL,1,Yes,Yes,No,Yes,Yes,No,Yes,Electronic check,13,76.2,38.1,Month-to-month,0
False,Female,1,Yes,No,2,Yes,Yes,DSL,1,Yes,No,No,Yes,Yes,No,Yes,Credit card (automatic),25,69.5,34.75,Month-to-month,0
True,Female,1,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,No,No,No,No,Yes,Credit card (automatic),8,80.65,40.325,Month-to-month,0
False,Female,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,Yes,No,Yes,Yes,Yes,Electronic check,47,100.5,50.25,Month-to-month,0
False,Male,0,Yes,No,2,No,No,DSL,1,Yes,Yes,Yes,No,No,No,No,Bank transfer (automatic),72,42.1,21.05,Two year,1
False,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,No,No,No,No,Yes,Electronic check,47,78.9,39.45,One year,1
True,Female,0,Yes,No,2,Yes,No,Fiber optic,1,No,No,Yes,No,No,No,Yes,Bank transfer (automatic),7,75.15,37.575,Month-to-month,0
False,Female,0,Yes,No,2,Yes,No,No,0,No,No,No,No,No,No,Yes,Bank transfer (automatic),49,20.15,10.075,Two year,1
False,Female,0,Yes,No,2,Yes,No,DSL,1,Yes,No,No,No,Yes,No,Yes,Bank transfer (automatic),35,62.15,31.075,One year,1
False,Male,0,Yes,No,2,No,No,DSL,1,No,No,No,No,Yes,No,No,Mailed check,29,33.75,16.875,Month-to-month,0
True,Female,1,Yes,No,2,Yes,No,Fiber optic,1,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,25,98.5,49.25,Month-to-month,0
False,Female,1,Yes,No,2,No,No,DSL,1,No,Yes,Yes,No,Yes,No,No,Bank transfer (automatic),66,45.55,22.775,One year,1
True,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),68,110.0,55.0,Two year,1
True,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,Yes,Yes,No,No,Yes,No,Yes,Electronic check,55,96.75,48.375,Month-to-month,0
True,Female,1,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,No,No,No,No,Yes,Electronic check,37,76.5,38.25,Month-to-month,0
False,Male,0,Yes,No,2,Yes,Yes,No,0,No,No,No,No,No,No,Yes,Bank transfer (automatic),72,23.55,11.775,Two year,1
True,Female,1,Yes,No,2,Yes,No,Fiber optic,1,No,No,No,No,No,No,Yes,Mailed check,1,70.45,35.225,Month-to-month,0
False,Female,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,No,No,Yes,Yes,Yes,Bank transfer (automatic),61,101.05,50.525,Two year,1
False,Male,1,Yes,No,2,Yes,Yes,No,0,No,No,No,No,No,No,No,Bank transfer (automatic),71,23.95,11.975,Two year,1
True,Female,0,Yes,No,2,Yes,Yes,Fiber optic,1,Yes,No,No,No,No,No,No,Electronic check,20,82.4,41.2,Month-to-month,0
False,Male,0,Yes,No,2,Yes,No,No,0,No,No,No,No,No,No,No,Mailed check,69,19.9,9.95,Two year,1
False,Male,0,Yes,No,2,Yes,Yes,DSL,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),72,89.05,44.525,Two year,1
